frequencyData_00,frequencyData_01,frequencyData_02,frequencyData_03,frequencyData_04,frequencyData_05,frequencyData_06,frequencyData_07,frequencyData_08,frequencyData_09,frequencyData_10,frequencyData_11,frequencyData_12,frequencyData_13,frequencyData_14,frequencyData_15,frequencyData_16,frequencyData_17,frequencyData_18,frequencyData_19,frequencyData_20,frequencyData_21,frequencyData_22,frequencyData_23,frequencyData_24,frequencyData_25,frequencyData_26,frequencyData_27,frequencyData_28,frequencyData_29,frequencyData_30,frequencyData_31,energyAverage,dbgLowRaw,dbgBodyRaw,dbgHighRaw,dbgSubRaw,dbgCoreRaw,dbgContamRaw,dbgLowNorm,dbgBodyNorm,dbgHighNorm,dbgLowRise,dbgRatio,dbgRawRatio,dbgSubNorm,dbgCoreNorm,dbgContamNorm,dbgCoreRawRatio,dbgSubAvg,dbgCoreAvg,dbgSupportAvg,dbgSubOverAvg,dbgCoreOverAvg,dbgSupportOverAvg,dbgLowPeak,dbgBodyPeak,dbgHighPeak,dbgSubBodyRatio,dbgContamWeighted,dbgSupportRaw,dbgSupportDominance,dbgSignalActive,dbgHighDominant,dbgLowQualified,dbgRawBassSupport,dbgCandidate,dbgAccepted,dbgPendingScore,dbgFlashStrength,dbgPendingActive,dbgPendingAgeMs,dbgRefractoryLeftMs,dbgPulseAgeMs,dbgPulse,dbgDetectorTickMs,dbgOnsetThreshold,dbgPeakPickWindowMs,dbgRefractoryMs,dbgEnergyFloor,dbgLowRawFloor,dbgLowBodyRawFloor,dbgSubBodyRatioThreshold,dbgSupportDominanceThreshold,dbgContamNormMax,dbgContamWeightedMax,dbgStrongCoreNormThreshold,dbgCoreRawRatioThreshold,dbgSubOverAvgThreshold,dbgCoreOverAvgThreshold,dbgSupportOverAvgThreshold,ts_epoch,ts_rel
0,0,0,0.000244,0,0.000244,0.000336,0,0,0.000244,0,0.000336,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000214,0.000275,0.000244,0.00029,0.000275,0.000259,0.00029,0.043259,0.014359,0.12178,0.010437,1.839996,1.839996,0.043259,0.014587,0.12178,1.416657,0.000916,0.003159,0.005676,0.299988,0.082123,0.107513,0.006348,0.016998,0.00238,1.090897,0.41304,0.00061,1.839996,0,0,0,0,0,0,0,1,0,0,0,-9608.528,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301065.2838054,0.8460648059844971
0.000336,0.000244,0.000244,0.000336,0.000244,0.000336,0,0.000244,0.000488,0.000244,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000214,7.6e-05,0.000351,0.000336,7.6e-05,0.000168,0.000336,0.012787,0.021912,0.150681,0.004288,1.071426,1.071426,0.012787,0.010025,0.150681,0.733322,0.000824,0.002884,0.005219,0.09259,0.058197,0.070175,0.005966,0.016006,0.002228,0.379303,0.733322,0.000366,1.071426,0,0,0,0,0,0,0,1,0,0,0,-9526.951,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301065.360755,0.9230144023895264
0.000244,0,0,0,0.000336,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000214,0.000153,0.00029,0.000336,0.000153,0.000259,0.000336,0.026382,0.018662,0.156021,0.010986,1.392853,1.392853,0.026382,0.015991,0.156021,1.307678,0.000778,0.002762,0.005005,0.196075,0.093918,0.100601,0.005783,0.015533,0.002151,0.639999,0.564102,0.000504,1.392853,0,0,0,0,0,0,0,1,0,0,0,-9446.636,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301065.439348,1.0016074180603027
0.000336,0,0.000244,0.000336,0.000336,0.000244,0.000336,0,0.000336,0.000336,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000183,0.000153,0.000259,0.000305,0.000153,0.000183,0.000305,0.028076,0.017731,0.152664,0.007629,1.269226,1.269226,0.028076,0.011993,0.152664,1,0.000702,0.002518,0.004593,0.217377,0.072723,0.089691,0.005432,0.014618,0.001999,0.695648,0.606049,0.000412,1.269226,0,0,0,0,0,0,0,1,0,0,0,-9370.103,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301065.5181599,1.0804193019866943
0.000244,0.000244,0.000336,0.000336,0.000244,0.000244,0.000244,0,0.000244,0.000336,0.000336,0,0.000244,0.000244,0.000336,0.000336,0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000198,0.000275,0.000183,0.000336,0.000275,0.000275,0.000336,0.053879,0.013306,0.178848,0.013977,1.642853,1.642853,0.053879,0.019119,0.178848,1.5,0.000641,0.002304,0.004227,0.428558,0.119202,0.144394,0.005096,0.013748,0.001877,1.333328,0.478256,0.00061,1.642853,0,0,0,0,0,0,0,1,0,0,0,-9285.017,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301065.6051998,1.16745924949646
0.000336,0,0.000244,0.000336,0.000336,0.000336,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000244,0.000153,0.000275,0.000336,0.000153,0.000168,0.000336,0.030853,0.020584,0.18486,0.002487,1.178558,1.178558,0.030853,0.012039,0.18486,0.611099,0.00061,0.002197,0.004059,0.25,0.076386,0.101501,0.004944,0.013336,0.001816,0.666657,0.666657,0.000412,1.178558,0,0,0,0,0,0,0,1,0,0,0,-9208.676,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301065.6827881,1.2450475692749023
0.000244,0.000244,0.000244,0.000244,0.000336,0.000336,0.000244,0.000244,0.000244,0.000336,0.000336,0.000244,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000214,0.000244,0.000275,0.000336,0.000244,0.000275,0.000336,0.052628,0.021866,0.198196,0.010239,1.642853,1.642853,0.052628,0.02095,0.198196,0.947357,0.000549,0.002014,0.003738,0.444443,0.136353,0.163254,0.004639,0.012558,0.001694,0.916657,0.478256,0.00061,1.642853,0,0,0,0,0,0,0,1,0,0,0,-9137.37,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301065.7558346,1.31809401512146
0.000244,0,0.000336,0.000336,0,0.000488,0.000488,0,0.000244,0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000198,0.000427,0.00029,0.000336,0.000427,0.000305,0.000336,0.09491,0.023804,0.205597,0.013535,2.142853,2.142853,0.09491,0.024002,0.205597,1.111099,0.000534,0.001923,0.003601,0.799988,0.158722,0.228806,0.004501,0.012177,0.001633,1.359985,0.366653,0.000824,2.142853,0,0,0,0,0,0,0,1,0,0,0,-9061.358,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301065.8299541,1.3922135829925537
0,0.000244,0.000244,0.000244,0.000244,0.000244,0,0.000336,0.000244,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000168,0.000259,0.000366,0.000336,0.000259,0.000244,0.000336,0.061371,0.031952,0.222214,0.009277,1.678558,1.678558,0.061371,0.020401,0.222214,0.888886,0.000473,0.001755,0.003326,0.548386,0.13913,0.188065,0.004227,0.011459,0.001511,0.766663,0.468079,0.000626,1.678558,0,0,0,0,0,0,0,1,0,0,0,-8961.079,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301065.9070144,1.4692738056182861
0.028687,0.023468,0.036453,0.16243,0.16777,0.170883,0.075455,0.025391,0.141876,0.162735,0.07222,0.07251,0.049698,0.041855,0.039337,0.031067,0.019684,0.016815,0.010696,0.007416,0.004257,0.00502,0.006058,0.005692,0.007385,0.005402,0.003708,0.002945,0.002975,0.004211,0.00473,0.007095,0.205032,0.005188,0.103058,0.005386,0.005188,0.055939,0.005386,1,1,1,0.991455,17.75766,17.75766,1,1,1,244.4,0.000626,0.003922,0.007095,8.292679,14.26459,13.69676,0.005188,0.103058,0.005386,0.051178,0.055359,0.097183,17.75766,0,1,0,1,0,0,0,1,0,0,0,-8875.998,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301066.0130396,1.5752990245819092
