frequencyData_00,frequencyData_01,frequencyData_02,frequencyData_03,frequencyData_04,frequencyData_05,frequencyData_06,frequencyData_07,frequencyData_08,frequencyData_09,frequencyData_10,frequencyData_11,frequencyData_12,frequencyData_13,frequencyData_14,frequencyData_15,frequencyData_16,frequencyData_17,frequencyData_18,frequencyData_19,frequencyData_20,frequencyData_21,frequencyData_22,frequencyData_23,frequencyData_24,frequencyData_25,frequencyData_26,frequencyData_27,frequencyData_28,frequencyData_29,frequencyData_30,frequencyData_31,energyAverage,dbgLowRaw,dbgBodyRaw,dbgHighRaw,dbgSubRaw,dbgCoreRaw,dbgContamRaw,dbgLowNorm,dbgBodyNorm,dbgHighNorm,dbgLowRise,dbgRatio,dbgRawRatio,dbgSubNorm,dbgCoreNorm,dbgContamNorm,dbgCoreRawRatio,dbgSubAvg,dbgCoreAvg,dbgSupportAvg,dbgSubOverAvg,dbgCoreOverAvg,dbgSupportOverAvg,dbgSupportRawRatio,dbgLowPeak,dbgBodyPeak,dbgHighPeak,dbgSubBodyRatio,dbgContamWeighted,dbgSupportRaw,dbgSupportDominance,dbgSignalActive,dbgHighDominant,dbgLowQualified,dbgRawBassSupport,dbgCandidate,dbgAccepted,dbgPendingScore,dbgFlashStrength,dbgPendingActive,dbgPendingAgeMs,dbgRefractoryLeftMs,dbgPulseAgeMs,dbgPulse,dbgDetectorTickMs,dbgOnsetThreshold,dbgPeakPickWindowMs,dbgRefractoryMs,dbgEnergyFloor,dbgLowRawFloor,dbgLowBodyRawFloor,dbgSubBodyRatioThreshold,dbgSupportDominanceThreshold,dbgContamNormMax,dbgContamWeightedMax,dbgStrongCoreNormThreshold,dbgCoreRawRatioThreshold,dbgSubOverAvgThreshold,dbgCoreOverAvgThreshold,dbgSupportOverAvgThreshold,dbgSupportRawRatioThreshold,ts_epoch,ts_rel
0.000244,0.000244,0,0.000336,0,0.000336,0,0.000336,0.000244,0.000244,0.000336,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000198,0.000183,0.000259,0.000305,0.000183,0.000183,0.000305,0.666657,0.849991,0.952377,0.5,1.346146,1.346146,0.666657,1,0.952377,0.857132,9.2e-05,9.2e-05,9.2e-05,2,2,4.833328,0.783783,0.000275,0.000305,0.00032,0.782608,0.571426,0.000443,1.346146,0,1,0,0,0,0,0,1,0,0,0,-6225.887,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300573.4781852,1.2791991233825684
0.000244,0.000244,0.000244,0.000244,0.000244,0.000488,0.000336,0,0.000244,0,0.000244,0.000336,0,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000336,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000214,0.000244,0.000153,0.00029,0.000244,0.00029,0.00029,0.941162,0.5,0.82608,0.449997,1.759995,1.759995,0.941162,0.949997,0.82608,0.949997,9.2e-05,9.2e-05,9.2e-05,2.666657,3.166657,6.333328,0.730759,0.000259,0.000305,0.000351,1.375,0.431808,0.00058,1.759995,0,1,0,0,0,0,0,1,0,0,0,-6116.761,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300573.5574913,1.3585052490234375
0,0,0.000336,0.000244,0.000244,0,0.000336,0,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000336,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000168,0.000305,0.000244,0.000259,0.000305,0.00029,0.000259,1,0.842102,0.77272,0.525009,2.173904,2.173904,1,1,0.77272,1,9.2e-05,9.2e-05,9.2e-05,3.333328,3.166657,7.333328,1,0.000305,0.00029,0.000336,1.181808,0.339996,0.000671,2.173904,0,1,0,0,0,0,0,1,0,0,0,-6040.704,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300573.6616392,1.4626531600952148
0.018799,0.005447,0.101242,0.021927,0.034805,0.406006,0.197708,0.136108,0.067856,0.055939,0.033325,0.020844,0.008377,0.003693,0.006714,0.007767,0.006119,0.003464,0.003601,0.002197,0.001312,0.001221,0.000534,0.004059,0.001221,0.001083,0.002182,0.000534,0.000687,0.000534,0.000687,0.000534,0.137039,0.029083,0.055908,0.00145,0.029083,0.131058,0.00145,1,1,1,0,116.6634,116.6634,1,1,1,1.113281,0.00325,0.015671,0.021118,8.948349,8.36319,8.509384,1.120865,0.029083,0.055908,0.00145,0.520981,0.008057,0.179703,116.6634,1,1,0,1,0,0,0,1,0,0,0,-5727.077,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300573.737906,1.5389199256896973
0.009872,0.014679,0.184998,0.060608,0.026077,0.156845,0.068115,0.060959,0.098694,0.03038,0.01738,0.006592,0.004501,0.002945,0.001755,0.008728,0.002975,0.001083,0.009521,0.001968,0.000763,0.000687,0.000534,0.001007,0.000488,0.000534,0.001968,0.000336,0.000534,0.000488,0.000534,0.000488,0.066559,0.071991,0.057785,0.000732,0.071991,0.086258,0.000732,1,0.70311,0.479996,0,216.7037,216.7037,1,0.665207,0.479996,0.917542,0.016068,0.038147,0.061554,4.48053,2.2612,2.899353,0.99379,0.071991,0.082184,0.001526,1.245438,0.004089,0.178467,216.7037,1,0,0,1,0,0,0,1,0,0,0,-5445.795,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300574.059726,1.8607399463653564
0.000732,0.014099,0.190033,0.06366,0.030518,0.163635,0.095139,0.112579,0.101974,0.019302,0.023926,0.004684,0.004364,0.00264,0.001556,0.007339,0.008499,0.002396,0.001953,0.00415,0.001221,0.00087,0.000687,0.002716,0.000687,0.000534,0.00177,0.000336,0.000534,0.000336,0.001007,0.000763,0.070038,0.068283,0.05249,0.001099,0.068283,0.092834,0.001099,1,0.678085,0.765945,0.082672,150.8718,150.8718,1,0.760117,0.765945,1.087784,0.020218,0.042267,0.070694,3.37735,2.196381,2.538742,1.064041,0.068283,0.077408,0.001434,1.300339,0.006104,0.179474,150.8718,1,1,0,1,0,0,0,1,0,0,0,-5369.709,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300574.3327782,2.1337921619415283
0.006699,0.013474,0.189056,0.048569,0.035065,0.159103,0.034683,0.074509,0.048203,0.057129,0.014084,0.003387,0.004807,0.002441,0.00087,0.01181,0.00293,0.002182,0.017593,0.003784,0.001083,0.000687,0.000687,0.002487,0.000534,0.000763,0.003082,0.000534,0.000336,0.000534,0.000336,0.00087,0.078644,0.069046,0.056625,0.000702,0.069046,0.083679,0.000702,1,0.753799,0.505493,0,217.5577,217.5577,1,0.705963,0.505493,0.900482,0.022232,0.043976,0.074936,3.105682,1.902832,2.302368,0.960815,0.069046,0.075119,0.001389,1.218979,0.004059,0.172531,217.5577,1,0,0,1,0,0,0,1,0,0,0,-5278.641,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300574.414528,2.2155418395996094
0.007813,0.018112,0.237198,0.062561,0.046631,0.174072,0.060654,0.084061,0.029968,0.03595,0.016708,0.007324,0.002243,0.003662,0.00325,0.007584,0.006638,0.00148,0.008301,0.003937,0.001083,0.00087,0.000687,0.003815,0.000534,0.000534,0.001221,0.000534,0.000336,0.000336,0.000534,0.000534,0.087952,0.081543,0.037537,0.000946,0.081543,0.095062,0.000946,1,0.530502,0.729401,0.156235,182.9412,182.9412,1,0.851547,0.729401,1.187119,0.026566,0.047501,0.083221,3.069489,2.001282,2.279785,1.159561,0.081543,0.070755,0.001297,2.169495,0.004974,0.189728,182.9412,1,1,0,1,0,0,0,1,0,0,0,-5202.581,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300574.4989815,2.2999954223632812
0.011566,0.018784,0.324356,0.089661,0.111465,0.181885,0.118271,0.137787,0.071671,0.007019,0.029785,0.012344,0.006439,0.005249,0.004395,0.006973,0.00386,0.001999,0.013611,0.002289,0.001236,0.000687,0.00087,0.004639,0.000336,0.000488,0.002289,0.00087,0.000534,0.000488,0.000763,0.000534,0.117401,0.096741,0.035767,0.001205,0.096741,0.107712,0.001205,1,0.520874,0.963409,0.14267,167.3529,167.3529,1,0.994217,0.963409,1.131973,0.02948,0.050003,0.088776,3.28157,2.154099,2.443954,1.143005,0.096741,0.068665,0.001251,2.700424,0.005539,0.216965,167.3529,1,1,0,1,0,0,0,1,0,0,0,-5126.617,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300574.5769887,2.378002643585205
0.013824,0.023651,0.333038,0.056396,0.105225,0.199722,0.155243,0.098648,0.072678,0.019684,0.045868,0.016663,0.016861,0.004883,0.003113,0.012009,0.007324,0.002182,0.00882,0.004837,0.001709,0.000977,0.001007,0.001312,0.000732,0.000687,0.001236,0.000488,0.000534,0.000534,0.000534,0.000687,0.120605,0.123505,0.050705,0.000931,0.123505,0.145538,0.000931,1,0.807922,0.70929,0,280.597,280.597,1,0.954651,0.70929,0.925919,0.040604,0.061691,0.112762,3.041702,2.359131,2.543152,0.942993,0.123505,0.062759,0.001312,2.433151,0.003235,0.286774,280.597,1,1,1,1,0,0,0,1,0,0,0,-5008.243,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1.019989,1774300574.6528068,2.4538207054138184
