ts_rel,replay_lowNorm,replay_bodyNorm,replay_highNorm,replay_lowRise,replay_ratio,replay_rawRatio,replay_signalActive,replay_highDominant,replay_lowQualified,replay_rawBassSupport,replay_candidate,replay_pendingScore,replay_accepted,logged_candidate,logged_accepted
0.000362396240234375,1.0,1.0,1.0,1.0,1.9999000099990003,1.619047619047619,0,0,1,1,0,0.0,0,0,0
0.09924697875976562,0.7230533323620669,0.9956799986625183,1.0,0.22305333236206693,1.7186614648780976,1.279816513761468,0,1,1,1,0,0.0,0,0,0
0.17136096954345703,1.0,1.0,0.9943383357660276,0.6384733338189665,2.011286097955284,1.8,0,0,1,1,0,0.0,0,0,0
0.23807120323181152,0.26159365603487056,0.9294418676975081,0.986289728386975,0.0,1.2075708915584722,1.1135802469135803,0,1,1,0,0,0.0,0,0,0
0.31330275535583496,0.6364819199123448,1.0,1.0,0.5056850918949095,1.6364182780845364,1.3509174311926608,0,1,1,1,0,0.0,0,0,0
0.38199806213378906,0.6631655174567531,0.8108059820474615,0.9457937214095299,0.3449245575005807,1.5583901934644593,1.3037037037037038,0,1,1,1,0,0.0,0,0,0
0.44698476791381836,0.6894375122910371,0.7208206737814774,0.9349051641632975,0.35785475356266055,1.5083961459556143,1.2743589743589745,0,1,1,1,0,0.0,0,0,0
0.5171711444854736,0.9239252416519745,1.0,0.9245390444605107,0.579206485506456,2.0808392779633973,1.7333333333333336,0,0,1,1,0,0.0,0,0,0
0.5868692398071289,0.8546537267566997,1.0,1.0,0.39269110593071244,1.8545682699297066,1.6024691358024694,0,0,1,1,0,0.0,0,0,0
0.6492831707000732,0.7198972918377926,0.6228109442533374,0.9359180856266,0.29257042845944276,1.4345964642255944,1.2826666666666666,0,0,1,1,0,0.0,0,0,0
0.72831130027771,0.81571373290808,1.0,1.0,0.4557650869891837,1.815632169691111,1.438095238095238,0,0,1,1,0,0.0,0,0,0
0.8032143115997314,0.8530714161863605,0.991704564917104,0.9477540216991869,0.4452145497323205,1.9463714230976366,1.5102564102564107,0,0,1,1,0,0.0,0,0,0
0.8932220935821533,1.0,0.8143906338744691,0.8415052753060374,0.5734642919068198,2.15598771432921,1.9767441860465116,0,0,1,1,0,0.0,0,0,0
