ts_rel,replay_lowNorm,replay_bodyNorm,replay_highNorm,replay_lowRise,replay_ratio,replay_rawRatio,replay_coreRaw,replay_bodyRaw,replay_contaminationRaw,replay_contaminationWeighted,replay_signalActive,replay_highDominant,replay_lowQualified,replay_rawBassSupport,replay_candidate,replay_pendingScore,replay_accepted,logged_candidate,logged_accepted
0.0,1.0,1.0,1.0,1.0,1.9999000099990003,14.789000673669875,0.19283033333333333,0.07343140000000001,0.017910799999999998,0.07560835198997135,1,1,1,1,0,0.0,0,0,0
0.0760641098022461,1.0,1.0,0.47573509940917363,0.0,4.203346920988906,48.947067863787105,0.18512733333333334,0.2181944,0.008142,0.025762237811801546,1,0,1,1,1,0.4079864,0,0,0
0.14768147468566895,1.0,0.9226237442518909,0.46322364790268505,0.0,4.1498502244714555,48.756388932203684,0.18223566666666666,0.192874,0.007595599999999999,0.025492006646975734,1,0,1,1,1,0.4079864,0,0,0
0.2257096767425537,1.0,0.8071825790295883,0.4635165232184404,0.0,3.8982272816408186,47.06865651346206,0.1849925,0.16105039999999998,0.007253999999999999,0.025757863161192166,1,0,1,1,1,0.4079864,0,0,0
0.3583388328552246,1.0,0.810987222723583,0.7362960874226537,0.0,2.4593927828463755,30.847061159404102,0.18186433333333332,0.149475,0.0106446,0.03919950702634758,1,1,1,1,0,0.0,1,0,0
0.4462440013885498,1.0,0.8963498890404067,1.0,0.0,1.8962602630141052,20.130759201401506,0.17562116666666663,0.1567504,0.0164156,0.06087260122572381,1,1,1,1,0,0.0,0,0,0
0.5194034576416016,0.9799441180760035,1.0,0.6448250747330625,0.0,3.0701924853759994,33.95930493930924,0.16473400000000002,0.18264439999999998,0.0101322,0.03693560936574076,1,0,1,1,1,0.3094547929264991,0,0,0
0.6008472442626953,0.9235494167506332,1.0,0.5890813792520169,0.0,3.2649528387892413,40.06932169934054,0.14787550000000002,0.20929859999999997,0.0088164,0.03224081096295818,1,0,1,1,1,0.31803813500352157,0,0,0
0.678173303604126,1.0,0.8189856739515051,0.7634585968021123,0.07645058324936682,2.3823786171357177,32.31313654253709,0.19199883333333334,0.1636688,0.01091,0.03759474755086817,1,1,1,1,0,0.31803813500352157,0,0,0
0.7913734912872314,0.9122579285441744,0.9434376820793545,0.6199413382761438,0.0,2.993019168339749,40.574929788131215,0.16369116666666667,0.1762024,0.008279400000000001,0.030731301339004407,1,0,1,1,0,0.0,1,0,0
0.8703749179840088,0.5981995896372172,1.0,1.0,0.0,1.5981397756596512,14.696869241553259,0.10238633333333334,0.2176056,0.0216796,0.09306558720804212,1,1,1,1,0,0.0,0,0,0
0.9499711990356445,0.8231977680575728,0.5867806283030793,0.48569755181410895,0.22499817842035563,2.902604986573132,25.265456326509145,0.13434883333333333,0.121753,0.010040400000000001,0.04841065255506292,1,0,1,1,0,0.0,0,0,0
1.0349342823028564,1.0,0.5637222350435619,0.4572603716210474,0.17680223194242717,3.419234223334263,31.23184800317027,0.172447,0.1111756,0.0089844,0.03756768279434918,1,0,1,1,1,0.8430784505150538,0,0,0
1.1110219955444336,0.975761649918878,1.0,0.5453543163120044,0.0,3.622414546608279,35.974068557279374,0.1607845,0.2110442,0.010238800000000001,0.03562424293960615,1,0,1,1,1,0.8430784505150538,0,0,0
1.1880311965942383,1.0,1.0,0.5879033977812635,0.024238350081121962,3.4015109564792594,38.882576825486325,0.16524250000000001,0.248407,0.010541,0.03353944026266463,1,0,1,1,1,0.8430784505150538,0,0,0
1.2769687175750732,0.7317627802068143,1.0,0.6776153166354271,0.0,2.555442879474509,30.763002994733405,0.11465700000000001,0.24272140000000003,0.0115204,0.044259891204358956,1,0,1,1,0,0.0,1,0,0
1.3732337951660156,1.0,1.0,0.3382559945514153,0.2682372197931857,5.911229687689404,73.11099254865078,0.1574045,0.24674079999999998,0.0054292,0.017774490522116004,1,0,1,1,1,1.8240130945936628,0,0,0
1.4591760635375977,1.0,0.7827835657786001,0.8775000191436216,0.0,2.031544583964767,25.77381605954943,0.16383366666666668,0.1834716,0.013378999999999999,0.04884332931086036,1,1,1,1,0,1.8240130945936628,0,0,0
1.544865369796753,0.8487217681780993,0.8384154289457424,0.5399670065578508,0.0,3.124125667067774,40.25736383222244,0.13210533333333332,0.18669739999999999,0.007821600000000001,0.032039485107090225,1,0,1,1,1,0.0,1,0,0
1.6285507678985596,1.0,0.7575924877422282,1.0,0.1512782318219007,1.7575167360686212,22.47231575009353,0.1838253333333333,0.16046739999999998,0.0152252,0.05435518096901776,1,1,1,1,0,0.0,0,0,0
1.7008705139160156,1.0,0.6997330460817577,1.0,0.0,1.6996630797737804,18.36591896644432,0.19496666666666665,0.1419406,0.018249599999999998,0.06514665732373712,1,1,1,1,0,0.0,0,0,0
1.8115684986114502,1.0,0.7209247541710161,0.5719002729245741,0.0,3.0087830996506466,33.40493416830486,0.19268533333333335,0.1368746,0.009768599999999999,0.03554672931227125,1,0,1,1,1,0.27162039275585753,0,0,0
1.88972806930542,0.6079531312748001,0.7632928397662038,1.0,0.0,1.3712088501559883,14.133599587249941,0.11179583333333333,0.1383028,0.017602399999999997,0.09037182834281314,1,1,1,1,0,0.27162039275585753,0,0,0
1.9727506637573242,1.0,0.6892088528652877,0.3990077505176551,0.3920468687251999,4.232713723735512,46.00727265579698,0.19315333333333332,0.11883239999999999,0.006683400000000001,0.025272565364916077,1,0,1,1,1,0.0,1,0,0
2.05680775642395,1.0,0.7640383320382151,0.7410453629502434,0.0,2.3802865405725413,26.16356692035864,0.18607833333333335,0.125278,0.0118042,0.045184382382115196,1,1,1,1,0,0.0,0,0,0
2.1330533027648926,0.9116900720753564,0.9856625607627156,0.5744930388990613,0.0,3.302254821035862,35.80097021507565,0.1620865,0.1544158,0.0087434,0.034323380623341865,1,0,1,1,1,0.3173335736238063,0,0,0
2.205799102783203,0.9995598374348658,1.0,0.4567643609074634,0.08786976535950941,4.376922361514408,48.676021591323995,0.17014566666666667,0.1585998,0.006655800000000001,0.0250873005997211,1,0,1,1,1,0.5973596965193905,0,0,0
2.288036823272705,0.809183306375941,0.9797758709260711,0.4971835459116698,0.0,3.5976641334917496,39.89720173783799,0.13113149999999998,0.1479372,0.006897199999999999,0.03136604748600939,1,0,1,1,0,0.5973596965193905,0,0,0
2.363718271255493,0.8818059232738799,1.0,0.773610720000039,0.07262261689793881,2.4323120704257337,30.448309710475165,0.13657883333333334,0.1786804,0.0102572,0.04207442117316529,1,1,1,1,0,0.0,1,0,0
2.444770097732544,0.9939050070649693,1.0,0.5310126776783202,0.11209908379108946,3.7543916590006186,46.70395342460388,0.14665983333333335,0.171182,0.006707599999999999,0.026898287691695475,1,0,1,1,1,0.7129034084988902,0,0,0
2.5200655460357666,0.5791004030952841,0.936243312721673,1.0,0.0,1.5152921865982973,11.785789751716852,0.08169033333333334,0.1532136,0.0198396,0.1142712370041686,1,1,1,1,0,0.7129034084988902,0,0,0
2.5975213050842285,1.0,1.0,0.6687834970323572,0.4208995969047159,2.9902068280558067,28.533727548036758,0.17083483333333335,0.1933838,0.012668000000000002,0.04416012756936379,1,0,1,1,0,0.7129034084988902,0,0,0
2.688932418823242,0.8405976294841153,1.0,0.7063377652449095,0.0,2.605604796405495,27.247588986878448,0.13596616666666667,0.2118256,0.012667800000000002,0.04815527439727726,1,1,1,1,0,0.0,1,0,0
2.7646331787109375,1.0,0.9851117821570131,0.6745963824931244,0.15940237051588468,2.9423779846296183,33.35577714520886,0.18949649999999998,0.1994386,0.0115632,0.03740203362883761,1,0,1,1,0,0.0,0,0,0
2.840487003326416,1.0,0.9612845619473347,0.5732384274221811,0.0,3.420989189170566,39.251866838071564,0.18642166666666668,0.18598640000000002,0.0093902,0.03150931011493752,1,0,1,1,1,0.3433667573639364,0,0,0
