frequencyData_00,frequencyData_01,frequencyData_02,frequencyData_03,frequencyData_04,frequencyData_05,frequencyData_06,frequencyData_07,frequencyData_08,frequencyData_09,frequencyData_10,frequencyData_11,frequencyData_12,frequencyData_13,frequencyData_14,frequencyData_15,frequencyData_16,frequencyData_17,frequencyData_18,frequencyData_19,frequencyData_20,frequencyData_21,frequencyData_22,frequencyData_23,frequencyData_24,frequencyData_25,frequencyData_26,frequencyData_27,frequencyData_28,frequencyData_29,frequencyData_30,frequencyData_31,energyAverage,dbgLowRaw,dbgBodyRaw,dbgHighRaw,dbgSubRaw,dbgCoreRaw,dbgContamRaw,dbgLowNorm,dbgBodyNorm,dbgHighNorm,dbgLowRise,dbgRatio,dbgRawRatio,dbgSubNorm,dbgCoreNorm,dbgContamNorm,dbgCoreRawRatio,dbgSubAvg,dbgCoreAvg,dbgSupportAvg,dbgSubOverAvg,dbgCoreOverAvg,dbgSupportOverAvg,dbgLowPeak,dbgBodyPeak,dbgHighPeak,dbgSubBodyRatio,dbgContamWeighted,dbgSupportRaw,dbgSupportDominance,dbgSignalActive,dbgHighDominant,dbgLowQualified,dbgRawBassSupport,dbgCandidate,dbgAccepted,dbgPendingScore,dbgFlashStrength,dbgPendingActive,dbgPendingAgeMs,dbgRefractoryLeftMs,dbgPulseAgeMs,dbgPulse,dbgDetectorTickMs,dbgOnsetThreshold,dbgPeakPickWindowMs,dbgRefractoryMs,dbgEnergyFloor,dbgLowRawFloor,dbgLowBodyRawFloor,dbgSubBodyRatioThreshold,dbgSupportDominanceThreshold,dbgContamNormMax,dbgContamWeightedMax,dbgStrongCoreNormThreshold,dbgCoreRawRatioThreshold,dbgSubOverAvgThreshold,dbgCoreOverAvgThreshold,dbgSupportOverAvgThreshold,ts_epoch,ts_rel
0.000336,0,0.000336,0.000336,0.000488,0.000336,0.000244,0,0.000244,0,0.000336,0.000244,0.000336,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000534,0.000336,0.000336,0.000336,0.00029,0.000214,0.000153,0.000336,0.000214,0.00029,0.000336,0.022354,0.02597,1,0.022079,1.5,1.5,0.022354,0.031815,1,1.357132,0.000412,0.000458,0.00145,0.518509,0.633331,0.378937,0.009552,0.005875,0.000336,1.25,0.523804,0.000549,1.5,0,1,0,0,0,0,0,0.887711,0,0,0,32739.97,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301322.7004166,0.7517001628875732
0.000244,0.000687,0.000336,0.000244,0.000336,0.000244,0.000336,0,0.000244,0,0.000336,0.000244,0.000336,0.000244,0,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000214,0.000366,0.000183,0.000275,0.000366,0.000305,0.000275,0.039536,0.032166,0.857132,0.018631,2.25,2.25,0.039536,0.034531,0.857132,1.052628,0.000381,0.000427,0.001404,0.959991,0.714279,0.521729,0.009262,0.005692,0.00032,1.666657,0.333328,0.000732,2.25,0,1,0,0,0,0,0,0.887711,0,0,0,-32719.72,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301322.7707074,0.821990966796875
0.000244,0.000244,0.000687,0.000244,0.000336,0.000336,0,0,0.000244,0.000244,0.000244,0.000244,0.000336,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000198,0.000381,0.000183,0.000305,0.000381,0.000305,0.000305,0.043777,0.03418,0.909088,0.020721,2.115372,2.115372,0.043777,0.036758,0.909088,1.111099,0.000351,0.000366,0.001328,1.086945,0.833328,0.563217,0.008713,0.005356,0.000336,1.722214,0.363632,0.000748,2.115372,0,1,0,0,0,0,0,0.887711,0,0,0,-32624.67,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301322.8489656,0.9002492427825928
0,0.000244,0.000244,0.000336,0.000488,0.000244,0.000488,0,0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000259,0.000153,0.000214,0.000305,0.000153,0.000336,0.000305,0.018616,0.042542,1,0.031662,1.615372,1.615372,0.018616,0.043045,1,1.571426,0.00032,0.000336,0.001236,0.476181,1,0.444443,0.008194,0.00502,0.000305,0.799988,0.476181,0.000549,1.615372,0,1,0,0,0,0,0,0.887711,0,0,0,-32529.65,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301322.9632533,1.0145368576049805
0.000244,0,0.000244,0,0.000244,0.000244,0.000244,0.000336,0.000244,0.000336,0.000244,0.000244,0,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000198,0.000153,0.000275,0.000336,0.000153,0.000153,0.000336,0.019791,0.058243,1,0.000641,1.142853,1.142853,0.019791,0.020828,1,0.526306,0.00029,0.000305,0.001144,0.526306,0.5,0.346664,0.007706,0.004715,0.000336,0.666657,0.6875,0.000397,1.142853,0,1,0,0,0,0,0,0.887711,0,0,0,-32439.34,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301323.0488877,1.1001713275909424
0.000534,0,0.000336,0.000244,0.000336,0.000336,0.000336,0.000244,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000229,0.000427,0.000275,0.000305,0.000427,0.000259,0.000305,0.058945,0.062057,1,0.019424,2.192307,2.192307,0.058945,0.037689,1,1,0.000275,0.000275,0.001083,1.555542,0.944443,0.718308,0.007248,0.004425,0.000305,1.416657,0.350876,0.000778,2.192307,0,1,0,0,0,0,0,0.887711,0,0,0,-32338.99,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301323.1319065,1.183190107345581
0.000763,0.000534,0.000244,0.000336,0.000244,0.000687,0,0,0.000244,0.000244,0.000244,0,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000336,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000214,0.00029,0.000229,0.000336,0.00029,0.000259,0.000336,0.041214,0.053375,1,0.02005,1.678558,1.678558,0.041214,0.038895,1,1,0.000259,0.000259,0.001053,1.117645,1,0.594193,0.007034,0.004288,0.000336,1.190475,0.468079,0.000626,1.678558,0,1,0,0,0,0,0,0.887711,0,0,0,-32258.58,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301323.2352586,1.2865421772003174
0.000336,0,0.000534,0.000336,0.000244,0.000244,0,0.000336,0.000244,0.000336,0.000244,0.000244,0.000336,0.000336,0.000244,0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000229,0.000259,0.000214,0.000336,0.000259,0.000198,0.000336,0.039261,0.053223,1,0.005676,1.428558,1.428558,0.039261,0.031616,1,0.619034,0.000244,0.000229,0.001007,1.0625,0.866653,0.515137,0.006607,0.004013,0.000336,1.149994,0.549988,0.000519,1.428558,0,1,0,0,0,0,0,0.887711,0,0,0,-32182.55,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301323.308707,1.3599905967712402
0.000244,0,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0,0.000336,0.000244,0.000244,0.000336,0.000336,0.000244,0.000244,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000229,0.000153,0.000214,0.00029,0.000153,0.000198,0.00029,0.024567,0.056671,0.904755,0.009811,1.319992,1.319992,0.024567,0.033676,0.904755,0.684204,0.000214,0.000198,0.000946,0.714279,1,0.435471,0.00621,0.003769,0.00032,0.799988,0.575745,0.000412,1.319992,0,1,0,0,0,0,0,0.887711,0,0,0,-32097.04,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301323.386676,1.4379596710205078
0.000534,0.000244,0.000534,0.000534,0.000534,0.000336,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000336,0.000244,0.000244,0.000488,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000198,0.000183,0.000275,0.000366,0.000183,0.000366,0.000366,0.030365,0.075302,1,0.047333,1.599991,1.599991,0.030365,0.064163,1,1.599991,0.000198,0.000183,0.000916,0.923065,2,0.699997,0.006027,0.003647,0.000366,0.75,0.5,0.000641,1.599991,0,1,0,0,0,0,0,0.887711,0,0,0,-32021,0,50,0.059998,240,180,0.00119,0.064972,0.219971,1,12,0.619995,0.064972,0.719971,1.049988,1.199982,1.079987,1.099976,1774301323.4717512,1.5230348110198975
