ts_rel,replay_lowNorm,replay_bodyNorm,replay_highNorm,replay_lowRise,replay_ratio,replay_rawRatio,replay_subRaw,replay_subCoreRaw,replay_coreRaw,replay_bodyRaw,replay_supportRaw,replay_contaminationRaw,replay_contaminationWeighted,replay_subOverAvg,replay_coreOverAvg,replay_supportOverAvg,replay_signalActive,replay_highDominant,replay_lowQualified,replay_rawBassSupport,replay_candidate,replay_pendingScore,replay_accepted,logged_candidate,logged_accepted
0.022579999999997824,1.0,1.0,1.0,1.0,1.9999000099990003,1.2139208173690932,0.00027466666666666666,0.000468,0.00019333333333333333,0.0002136,0.00059616,0.0003176,0.9878898473788985,2.409920449227889,1.7990074441687343,4.267650158061116,0,1,0,0,0,0.0,0,0,0
0.17253999999999792,0.9202949513247285,1.0,1.0,0.4202949513247285,1.9202029310316253,1.2042813455657493,0.00016266666666666667,0.00032533333333333334,0.00016266666666666667,0.0002624,0.0004827733333333333,0.000336,1.0496501166277907,1.3800655191761233,1.4539040899990463,2.8884499273228728,0,1,0,0,0,0.0,0,0,0
0.2725200000000001,1.0,1.0,0.9453243616623923,0.5398525243376358,2.1155579241507096,1.4255177020708083,8.133333333333334e-05,0.00030000000000000003,0.00021866666666666668,0.00025039999999999996,0.00045023999999999997,0.0002992,0.8110452508312853,0.7075788609400135,1.8157854645044937,2.3723399420403126,0,1,0,0,0,0.0,0,0,0
0.3724899999999991,1.0,1.0,1.0,0.5,1.9999000099990003,1.4452599388379206,0.000244,0.0004933333333333334,0.00024933333333333334,0.0002808,0.0006618133333333334,0.000336,0.804186877712535,1.947788326077848,1.9071218055485388,2.9084382338125843,0,1,0,0,0,0.0,0,0,0
0.4724699999999977,1.0,1.0,1.0,0.5,1.9999000099990003,1.6328746177370033,0.00019333333333333333,0.00047566666666666666,0.00028233333333333333,0.0003296,0.0006734266666666666,0.000336,0.6998639153497931,1.479041013174029,1.9762156873900742,2.5584217443429234,0,1,0,0,0,0.0,0,0,0
0.5224599999999988,0.9464015781347401,1.0,0.9739137234117077,0.44640157813474013,1.9984334217763067,1.6717752234993615,0.000244,0.0005033333333333333,0.0002593333333333333,0.0003388,0.0007066133333333333,0.0003176,0.6865344708323726,1.7456239179854376,1.7040880217127565,2.365699566637458,0,1,0,0,0,0.0,0,0,0
0.6224299999999978,1.0,0.7645437926504904,1.0,0.5267992109326299,1.7644673459158988,1.5972222222222223,0.00016266666666666667,0.0004856666666666667,0.000323,0.000244,0.0006320666666666667,0.0003176,0.6766084363016618,1.148701357166693,1.9475615473409258,1.942661963486915,0,1,0,0,0,0.0,0,0,0
0.72241,0.9531341140914834,1.0,1.0,0.4531341140914834,1.9530388102104623,1.5871559633027528,0.00019333333333333333,0.00048333333333333334,0.00029,0.000302,0.0006645333333333333,0.000336,0.7130730050933786,1.326498483063005,1.649784405665985,1.885228251026318,0,1,0,0,0,0.0,0,0,0
0.822379999999999,0.8164466573543634,0.7508449209167984,1.0,0.3398796003086217,1.5672348547856834,1.2559633027522936,0.000244,0.00047799999999999996,0.00023399999999999997,0.0002136,0.0006061599999999999,0.000336,0.9277667329357191,1.588465653813205,1.2968436245016772,1.6260175561269563,0,1,0,0,0,0.0,0,0,0
0.9223599999999976,1.0,1.0,1.0,0.5917766713228183,1.9999000099990003,1.60632183908046,0.00027466666666666666,0.0005646666666666667,0.00029,0.0002808,0.0007331466666666666,0.0003176,0.6927237829349154,1.6820573326793156,1.5327448289124175,1.8254880986098188,0,1,0,0,0,0.0,0,0,0
