track,detector,trigger_count,avg_interval_s,first_triggers_s
Moderat - A New Error - 02m45s-03m15s.wav,low_band_threshold,129,0.231655,"0.16, 0.35, 0.53, 0.72, 0.91, 1.25, 1.44, 1.63"
Moderat - A New Error - 02m45s-03m15s.wav,low_band_rising_edge,66,0.457254,"0.16, 0.35, 0.53, 0.72, 0.91, 1.25, 1.44, 1.63"
Moderat - A New Error - 02m45s-03m15s.wav,bass_vs_high_ratio,97,0.304762,"0.58, 1.63, 3.92, 4.92, 5.94, 7.08, 7.27, 12.42"
Moderat - A New Error - 02m45s-03m15s.wav,onset_plus_ratio,88,0.337090,"0.58, 1.60, 3.78, 4.02, 4.90, 5.09, 5.60, 5.94"
Moderat - A New Error - 02m45s-03m15s.wav,onset_plus_ratio_peak_picked,40,0.744825,"0.67, 1.60, 3.92, 5.02, 5.60, 6.08, 6.69, 7.17"
Moderat - A New Error - 02m45s-03m15s.wav,onset_plus_ratio_peak_picked_low_qualified,40,0.744825,"0.67, 1.60, 3.92, 5.02, 5.60, 6.08, 6.69, 7.17"
