track,detector,trigger_count,avg_interval_s,first_triggers_s
Kick Drum _ BPM 100 [9hXSNhds1JA] - 30s.wav,low_band_threshold,46,0.599075,"2.58, 3.16, 3.76, 4.37, 4.97, 5.53, 6.13, 6.73"
Kick Drum _ BPM 100 [9hXSNhds1JA] - 30s.wav,low_band_rising_edge,46,0.599075,"2.58, 3.16, 3.76, 4.37, 4.97, 5.53, 6.13, 6.73"
Kick Drum _ BPM 100 [9hXSNhds1JA] - 30s.wav,bass_vs_high_ratio,46,0.599591,"2.58, 3.18, 3.78, 4.39, 4.99, 5.57, 6.18, 6.76"
Kick Drum _ BPM 100 [9hXSNhds1JA] - 30s.wav,onset_plus_ratio,45,0.613218,"2.58, 3.18, 3.78, 4.39, 4.99, 5.55, 6.15, 6.76"
Kick Drum _ BPM 100 [9hXSNhds1JA] - 30s.wav,onset_plus_ratio_peak_picked,45,0.613218,"2.58, 3.18, 3.78, 4.39, 4.99, 5.55, 6.15, 6.76"
Kick Drum _ BPM 100 [9hXSNhds1JA] - 30s.wav,onset_plus_ratio_peak_picked_low_qualified,45,0.613218,"2.58, 3.18, 3.78, 4.39, 4.99, 5.55, 6.15, 6.76"
